id,diff_size,touches_tests,touches_docs
3271196926,51567,0,1
2869721995,216,1,0
2994431385,143,0,0
3035055362,3,0,0
3265801820,913,1,0
3071636852,65,0,1
2819751239,323,0,0
3237656374,163,1,0
2782215521,36,0,0
3169159305,341,1,0
2855377059,146,1,0
2942942773,220,1,0
3126249131,108,0,0
3003414156,2000,1,0
2825700983,135,0,0
3036540547,90,0,0
2770724281,123,1,0
3118432145,3625,1,1
2933365044,109,1,0
2989490334,224,0,0
3049966058,2,0,0
3040071585,2,0,0
3203773571,417,0,0
3013519880,512,1,1
3070896378,18,0,1
2787693519,1293,1,0
2774379409,767,0,1
3059800558,908,1,1
2932761138,8798,1,1
3220255675,5,0,1
2883276586,93,0,1
2901668634,9,1,0
3114700813,736,0,0
3131144863,125,0,0
2893361646,234,1,0
3020688007,25,1,0
2855360043,1878,0,0
3019980620,4,0,0
2802436731,5558,0,1
2915529501,937,0,0
3082784109,574,1,1
3036742708,2296,1,1
2895855357,4,0,0
2800258838,378,0,0
2770799696,4,0,0
2908524210,577,0,0
2981139485,36,1,0
2840453828,59948,1,1
3071325744,9494,0,1
3119246556,8852,1,1
3037617116,580,0,0
2887662785,328,0,0
2993960739,29,0,0
3274030153,31202,1,1
2859612144,71,0,0
2944482200,75,0,1
2985729326,32,0,1
3165098830,2247,1,0
2992456386,10809,1,1
3135281578,608,1,0
2886103948,58,0,0
3087146252,1348,0,0
3257058488,3428,1,0
2845114081,598,1,0
3066853764,111,1,0
3049856720,2964,1,0
3151335166,105,1,0
3163019712,7,0,0
3025434270,11098,1,1
2968381717,52,0,0
2899427895,33,0,0
2862089326,2954,0,0
2834594365,81,1,0
3119572928,19,0,0
3049337839,100,0,0
3035201679,374,1,0
2786715226,51388,1,1
3185693407,1167,0,0
3062241477,3146,1,0
2989501310,465,0,0
3119664607,6885,1,1
3182184191,993,1,0
3095452673,2201,1,1
2876476091,255,0,0
3069567637,8,0,0
3113155476,10152,0,1
2957949038,356,1,0
2759596477,14740,0,0
2890352964,70,0,1
2896388103,49,0,0
2914109730,65,0,0
3070165463,142,1,0
2791677300,61618,1,1
3275952470,103,1,0
3259942984,38,0,0
3079374187,2,0,0
3245747489,312,1,0
3070150168,215,1,0
2821981350,48,0,0
3216681123,2631,1,1
3171974887,151,0,0
3023422806,137,1,0
3042979666,833,0,0
3155885652,4,0,0
2896791270,6,0,0
2893168529,300,0,0
3002994401,226,1,0
2776603613,92,0,0
3220847359,44,0,0
3084853111,313,0,0
2919829243,184,1,0
3125881974,7,0,1
3273497026,2,0,0
2887008712,8343,1,0
3057907036,101,0,0
2933819815,137,1,1
2761312980,24,0,0
3179148644,37,1,0
2883135223,47,0,0
2975842137,9269,1,1
3216257115,934,1,1
3220255779,9,0,1
2760297589,860,0,0
3231939415,606,1,0
2766896431,53,0,0
2776793311,5851,0,1
3113332396,526,0,0
2971125606,813,1,0
2768952674,260,0,0
2802417432,7310,1,1
2794276099,1028,0,0
3082414888,88,0,0
2819134642,7643,0,1
3154457494,2,0,0
2867174561,238,0,0
3132594145,10,0,1
3160057955,151,1,0
3236103026,115,0,0
3273989926,716,0,1
2900785013,3,0,0
3271282745,24,0,0
2798295763,731,0,0
2770095837,2,0,1
3246352490,39,0,0
2964636369,55,0,0
3084701052,206,0,0
2888969392,1341,0,1
2805430490,5101,1,0
2941637629,4745,1,1
3095997738,12,0,1
2849418286,331,0,1
3046253270,4216,1,0
3173664115,917,1,1
2779790975,20341,1,0
3077212751,2952,0,0
3038019311,2,0,0
3035281556,78,0,0
2839176660,3407,0,0
2883187330,8344,1,1
2776940475,146,0,0
3084270017,6207,1,1
3165094657,159,0,1
2883304506,38,0,0
2795084819,29410,1,1
2922618926,705,0,0
3113346977,9223,1,1
3018773782,2,0,0
3035224376,207,1,0
2762301500,13234,1,1
3095585241,5,0,0
2883332104,41,0,0
2999274935,70,0,0
3150940796,2,0,0
2777919004,1334,1,0
2802488198,37,0,0
